run_id,EOS,case,variant,sigma,chi,include_in_gravity,Mmax,R_1.4,Lambda_1.4,wfaktor_max,obs_status,max_epsratio,delta_disc_Mmax_pct,delta_disc_R14_pct,delta_disc_Lambda14_pct,baseline_max_step,refined_max_step,baseline_rtol,refined_rtol,baseline_atol,refined_atol,Delta_Mmax_pct,Delta_R14_pct,Delta_Lambda14_pct,delta_total_Mmax_pct,delta_total_R14_pct,delta_total_Lambda14_pct
AP4PPRead2009_A_baseline,AP4-PP(Read2009),A_baseline,A,0.0,1.0,False,2.211262615782692,10.784406866500394,540.1196408002265,0.0,ok,0.0,5.8928069902353675e-06,4.725963725105537e-06,0.009462145117125354,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,0.0,0.0,0.0,5.8928069902353675e-06,4.725963725105537e-06,0.009462145117125354
AP4PPRead2009_B_legacy,AP4-PP(Read2009),B_legacy,B_exploratory,0.06,1.0,True,2.1065098179418276,10.072747840931832,329.55413328725996,8.262717639692599e-50,ok,0.06,1.4483308516145234e-06,1.2282949278634484e-05,0.0069805626135311955,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,-4.737239127238917,-6.59896306192961,-38.984975106811234,1.4483308516145234e-06,1.2282949278634484e-05,0.0069805626135311955
AP4PPRead2009_C_sigma_chi,AP4-PP(Read2009),C_sigma_chi,A,0.06,1.0,False,2.1462864576014957,10.638504702259867,395.7324354871255,1.2554523582646767e-37,ok,0.06,2.5811145422551058e-06,1.7636004368968142e-06,0.01909220973939799,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,-2.938418879667873,-1.3528992929017025,-26.73244859216393,2.5811145422551058e-06,1.7636004368968142e-06,0.01909220973939799
H4PPRead2009_A_baseline,H4-PP(Read2009),A_baseline,A,0.0,1.0,False,2.0440406581970394,12.756798033115508,1341.8427449511964,0.0,ok,0.0,4.028312117759223e-05,0.00036170453487999063,0.021517580508215083,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,0.0,0.0,0.0,4.028312117759223e-05,0.00036170453487999063,0.021517580508215083
H4PPRead2009_B_legacy,H4-PP(Read2009),B_legacy,B_exploratory,0.06,1.0,True,1.9189345453698277,7.638837961318357,17.45648063029784,8.2627176396921195e-50,ok,0.06,0.0005112885364784806,5.480184956329252e-05,0.014248089167515505,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,-6.120529566058753,-40.11947244529062,-98.69906658615703,0.0005112885364784806,5.480184956329252e-05,0.014248089167515505
H4PPRead2009_C_sigma_chi,H4-PP(Read2009),C_sigma_chi,A,0.06,1.0,False,1.9573008737289312,7.840831226043251,20.606005672068793,1.1538465154912197e-37,ok,0.06,2.021345193913184e-05,0.00012135447432654063,0.006280666921857103,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,-4.2435449666944285,-38.5360557901038,-98.4643501818972,2.021345193913184e-05,0.00012135447432654063,0.006280666921857103
MPA1PPRead2009_A_baseline,MPA1-PP(Read2009),A_baseline,A,0.0,1.0,False,2.3017455214457603,11.927008950890285,929.0710853232279,0.0,ok,0.0,5.8111932614623894e-05,1.9972324975884424e-06,0.006101312763882577,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,0.0,0.0,0.0,5.8111932614623894e-05,1.9972324975884424e-06,0.006101312763882577
MPA1PPRead2009_B_legacy,MPA1-PP(Read2009),B_legacy,B_exploratory,0.06,1.0,True,2.1864189668288434,11.428976720270585,630.6697298313059,8.262717639692386e-50,ok,0.06,8.13130731506077e-06,6.135808022193678e-06,0.0041509211368739194,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,-5.010395525586971,-4.175667450828267,-32.1182480227664,8.13130731506077e-06,6.135808022193678e-06,0.0041509211368739194
MPA1PPRead2009_C_sigma_chi,MPA1-PP(Read2009),C_sigma_chi,A,0.06,1.0,False,2.228209613761277,11.738013270769137,715.6379283333641,1.208256226260958e-37,ok,0.06,7.408208928497103e-06,7.95569822923832e-06,0.001068658157015181,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,-3.1947887809202413,-1.5846024841545854,-22.97274776510878,7.408208928497103e-06,7.95569822923832e-06,0.001068658157015181
Poly2toy_A_baseline,Poly2(toy),A_baseline,A,0.0,1.0,False,0.0,0.0,0.0,1000000000.0,DIAGNOSTIC,1.0,1000000000.0,1000000000.0,1000000000.0,50000.0,25000.0,3e-06,1e-08,1e-09,1e-11,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0
