run_id,EOS,case,sigma,chi,include_in_gravity,obs_status,status,max_epsratio,Delta_Mmax_pct,Delta_R14_pct,Delta_Lambda14_pct,delta_disc_Mmax_pct,delta_disc_R14_pct,delta_disc_Lambda14_pct,delta_total_Mmax_pct,delta_total_R14_pct,delta_total_Lambda14_pct
AP4PPRead2009_A_baseline,AP4-PP(Read2009),A_baseline,0.0,1.0,False,ok,RESOLVED,0.0,0.0,0.0,0.0,5.892806990235368e-06,4.725963725105537e-06,0.0094621451171253,5.892806990235368e-06,4.725963725105537e-06,0.0094621451171253
AP4PPRead2009_B_legacy,AP4-PP(Read2009),B_legacy,0.06,1.0,True,ok,RESOLVED,0.06,-4.737239127238917,-6.59896306192961,-38.984975106811234,1.4483308516145234e-06,1.2282949278634484e-05,0.0069805626135311,1.4483308516145234e-06,1.2282949278634484e-05,0.0069805626135311
AP4PPRead2009_C_sigma_chi,AP4-PP(Read2009),C_sigma_chi,0.06,1.0,False,ok,RESOLVED,0.06,-2.938418879667873,-1.3528992929017023,-26.73244859216393,2.5811145422551058e-06,1.7636004368968142e-06,0.0190922097393979,2.5811145422551058e-06,1.7636004368968142e-06,0.0190922097393979
H4PPRead2009_A_baseline,H4-PP(Read2009),A_baseline,0.0,1.0,False,ok,RESOLVED,0.0,0.0,0.0,0.0,4.028312117759223e-05,0.0003617045348799,0.021517580508215,4.028312117759223e-05,0.0003617045348799,0.021517580508215
H4PPRead2009_B_legacy,H4-PP(Read2009),B_legacy,0.06,1.0,True,ok,RESOLVED,0.06,-6.120529566058753,-40.11947244529062,-98.69906658615704,0.0005112885364784,5.480184956329252e-05,0.0142480891675155,0.0005112885364784,5.480184956329252e-05,0.0142480891675155
H4PPRead2009_C_sigma_chi,H4-PP(Read2009),C_sigma_chi,0.06,1.0,False,ok,RESOLVED,0.06,-4.2435449666944285,-38.5360557901038,-98.4643501818972,2.021345193913184e-05,0.0001213544743265,0.0062806669218571,2.021345193913184e-05,0.0001213544743265,0.0062806669218571
MPA1PPRead2009_A_baseline,MPA1-PP(Read2009),A_baseline,0.0,1.0,False,ok,RESOLVED,0.0,0.0,0.0,0.0,5.811193261462389e-05,1.9972324975884424e-06,0.0061013127638825,5.811193261462389e-05,1.9972324975884424e-06,0.0061013127638825
MPA1PPRead2009_B_legacy,MPA1-PP(Read2009),B_legacy,0.06,1.0,True,ok,RESOLVED,0.06,-5.010395525586971,-4.175667450828267,-32.1182480227664,8.13130731506077e-06,6.135808022193678e-06,0.0041509211368739,8.13130731506077e-06,6.135808022193678e-06,0.0041509211368739
MPA1PPRead2009_C_sigma_chi,MPA1-PP(Read2009),C_sigma_chi,0.06,1.0,False,ok,RESOLVED,0.06,-3.1947887809202413,-1.5846024841545854,-22.97274776510878,7.408208928497103e-06,7.95569822923832e-06,0.0010686581570151,7.408208928497103e-06,7.95569822923832e-06,0.0010686581570151
Poly2toy_A_baseline,Poly2(toy),A_baseline,0.0,1.0,False,DIAGNOSTIC,DIAGNOSTIC,1.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Poly2toy_B_legacy,Poly2(toy),B_legacy,0.06,1.0,True,DIAGNOSTIC,DIAGNOSTIC,1.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Poly2toy_C_sigma_chi,Poly2(toy),C_sigma_chi,0.06,1.0,False,DIAGNOSTIC,DIAGNOSTIC,1.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
SLyPPRead2009_A_baseline,SLy-PP(Read2009),A_baseline,0.0,1.0,False,ok,RESOLVED,0.0,0.0,0.0,0.0,0.0005661434990804,0.0002606053698915,0.0203895059977459,0.0005661434990804,0.0002606053698915,0.0203895059977459
SLyPPRead2009_B_legacy,SLy-PP(Read2009),B_legacy,0.06,1.0,True,ok,RESOLVED,0.06,-5.188371475365723,11.157728715676754,-15.35864329547685,8.40270914565368e-06,1.5392654041201258e-05,0.0209115636222153,8.40270914565368e-06,1.5392654041201258e-05,0.0209115636222153
SLyPPRead2009_C_sigma_chi,SLy-PP(Read2009),C_sigma_chi,0.06,1.0,False,ok,RESOLVED,0.06,-3.3894308069538,14.148007791213145,5.15320794701445,1.0873200502688616e-05,5.606319485920298e-06,0.0021608996901772,1.0873200502688616e-05,5.606319485920298e-06,0.0021608996901772
WFF1PPRead2009_A_baseline,WFF1-PP(Read2009),A_baseline,0.0,1.0,False,ok,RESOLVED,0.0,0.0,0.0,0.0,4.067503201066566e-06,0.0016774516598388,0.0326172129944811,4.067503201066566e-06,0.0016774516598388,0.0326172129944811
WFF1PPRead2009_B_legacy,WFF1-PP(Read2009),B_legacy,0.06,1.0,True,ok,RESOLVED,0.06,-5.161607242169343,10.866855534470114,101.21473827455952,5.0098585591070745e-06,0.0001134689203763,0.0249708265276629,5.0098585591070745e-06,0.0001134689203763,0.0249708265276629
WFF1PPRead2009_C_sigma_chi,WFF1-PP(Read2009),C_sigma_chi,0.06,1.0,False,ok,RESOLVED,0.06,-3.3289188290740936,-4.048140437393038,-73.65195949444049,1.576644274664373e-05,7.002796753200407e-06,0.0001365536093646,1.576644274664373e-05,7.002796753200407e-06,0.0001365536093646
